nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,15_03_22,16_03_22,17_03_22,18_03_22,19_03_22,20_03_22,21_03_22,22_03_22,23_03_22,24_03_22,25_03_22,26_03_22,27_03_22,28_03_22,29_03_22,30_03_22,31_03_22,total
Crisópolis,IT-PR-08,Crisópolis,Crisópolis - IT-PR-08,-11.510923,-38.120832,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,32.6,2.8,1.2,2.8,0.0,0.0,5.2,0.2,0.4,0.0,0.0,0.0,0.0,2.6,0.8,0.8,0.0,0.0,0.0,2.6,0.2,0.2,0.0,0.0,0.4,0.0,0.8,0.6,54.2
Fazenda Laranjeiras III,IT-PR-09,Araci,Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,5.4,33.0,1.4,0.0,0.0,0.0,0.2,2.8,0.8,0.0,0.0,0.0,1.4,0.2,0.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.4,10.2,12.6,5.4,0.2,5.2,0.2,0.0,1.8,0.4,0.0,0.0,0.0,1.6,11.4,22.0,0.0,0.0,0.0,1.8,0.0,10.8,0.4,0.2,0.0,0.8,0.2,1.0,0.0,86.61
Fazenda Grutinha,IT-FR-13,Pindobaçu,Pindobaçu (Fazenda Grutinha) - IT-FR-13,-10.7589,-40.4367,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,6.8,96.6,2.8,2.8,13.4,0.2,0.8,0.0,2.2,3.0,0.0,0.0,0.8,48.0,23.6,5.2,1.8,0.0,8.4,0.2,14.8,0.4,0.0,0.0,12.2,0.0,0.0,0.0,244.21
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,7.2
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,15.6,59.0,14.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,92.6
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,5.8,12.0,9.4,0.0,3.4,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,25.0,0.2,1.4,0.0,0.0,0.0,0.0,5.8,1.4,0.0,0.0,0.2,0.0,0.0,0.0,68.4
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.2,18.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4
Irecê,A424,Irecê,Irecê - A424,-11.328998,-41.864504,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.4,0.0,16.0,0.0,2.8,0.0,0.0,4.4,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6
CODEVASF Salitre,MC-CL-01,Juazeiro,Juazeiro (CODEVASF Salitre) - MC-CL-01,-9.48778,-40.61333,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.4,51.4,5.2,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.4,0.0,0.0,0.0,0.2,0.0,0.0,70.01
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,1.2,4.6,23.2,2.4,1.8,5.6,0.4,0.2,1.0,0.2,0.0,0.0,0.0,28.4,34.6,5.2,1.2,0.4,0.0,0.8,0.2,30.4,0.0,0.0,0.0,2.0,0.2,0.0,1.6,145.6
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.0,0.0,0.0,13.2,0.0,1.2,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,40.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,4.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,7.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,39.81
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,13.0,31.8,12.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.4,1.4,1.4,0.0,0.0,1.6,0.0,0.0,0.0,63.2
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.62667,-42.06444,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.2,3.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8
Abreus,SA-FR-01,Campo Formoso,Campo Formoso (Abreus) - SA-FR-01,-10.01028,-40.695528,Norte,RPGA do Rio Salitre,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,3.6,7.2,0.0,5.5,0.0,3.6,3.2,54.4,3.6,0.0,0.0,9.5,3.6,4.1,3.6,3.2,0.0,0.0,5.0,120.9
Mirangaba,IT-PR-29,Mirangaba,Mirangaba - IT-PR-29,-10.954784,-40.574527,Norte,RPGA do Rio Itapicuru,0.0,1.0,0.4,3.6,16.0,18.8,2.6,1.6,0.6,1.2,8.2,0.4,0.8,0.0,0.0,4.2,1.8,2.8,10.0,0.4,0.0,0.4,0.0,1.0,0.0,0.4,0.0,15.0,0.4,0.0,2.4,94.01
Formosa do Rio Preto,A452,Formosa do Rio Preto,Formosa do Rio Preto - A452,-11.052163,-45.200769,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,2.6,7.8,7.6,23.6,0.8,0.0,0.0,0.0,0.0,6.4,0.0,1.8,25.6,0.2,0.0,0.0,5.0,0.4,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,83.8
Correntina,A416,Correntina,Correntina - A416,-13.332386,-44.617376,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.2,0.0,0.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2
Barreiras,83236,Barreiras,Barreiras - 83236,-12.155556,-45.007778,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,5.9,5.2,6.4,18.5,13.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.9,16.9,0.0,0.0,10.3,4.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.11
Correntina,83286,Correntina,Correntina - 83286,-13.332222,-44.617222,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,5.2,19.5,4.7,0.0,0.0,0.0,0.0,3.1,2.4,0.0,0.0,0.0,7.2,0.6,0.3,3.6,0.0,0.0,0.0,2.4,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,0.0,0.2,0.0,2.2,0.0,2.0,7.4,3.8,3.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,1.4,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.61
Correntina,45590000,Correntina,Correntina - 45590000,-13.3406,-44.6386,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,1.0,0.4,18.6,0.0,35.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,13.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.01
Fazenda Decisão,GR-CL-05,São Desidério,São Desidério (Fazenda Decisão) - GR-CL-05,-12.76167,-45.28167,Oeste,RPGA do Rio Grande,0.0,0.0,9.6,0.6,0.0,2.0,0.0,2.6,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,25.6
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.59139,-46.02194,Oeste,RPGA do Rio Grande,0.0,0.0,1.0,0.0,3.4,1.2,0.4,15.8,0.4,0.0,0.0,0.0,19.2,0.0,0.0,14.6,7.4,4.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.0,0.0,70.8
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.6,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,3.0,0.0,0.0,8.2,1.6,0.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.2,0.0,0.2,5.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,40.01
Luís Eduardo Magalhães,A404,Luís Eduardo Magalhães,Luís Eduardo Magalhães - A404,-12.152394,-45.829745,Oeste,RPGA do Rio Grande,0.0,0.0,0.4,0.4,9.4,2.2,0.0,8.2,0.2,0.0,0.0,0.0,0.0,0.6,17.0,4.8,24.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8
