nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_11_21,02_11_21,03_11_21,04_11_21,05_11_21,06_11_21,07_11_21,08_11_21,total
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.59139,-46.02194,Oeste,RPGA do Rio Grande,4.4,5.0,11.8,1.2,0.2,0.6,39.8,0.0,63.0
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",4.6,59.6,0.0,5.0,7.8,29.4,0.0,11.4,117.81
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,1.4,0.0,6.0,0.0,2.6,3.0,6.6,0.0,19.6
Ponte do Fortunato,CA-FR-01,Cocos,Cocos (Ponte do Fortunato) - CA-FR-01,-14.641237,-45.503601,Oeste,RPGA do Rio Carinhanha,0.0,2.0,22.0,0.0,2.0,10.2,0.2,14.6,51.01
Fazenda Morete,CT-FR-01,Correntina,Correntina (Fazenda Morete) - CT-FR-01,-13.223149,-45.154136,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,78.0,0.0,0.2,0.4,1.0,2.4,128.6,210.61
Fazenda Lagoa do Casamento,CT-FR-08,Cocos,Cocos (Fazenda Lagoa do Casamento) - CT-FR-08,-14.39901,-45.520267,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.2,1.0,0.0,0.0,6.6,0.0,16.6,24.41
Fazenda Conquista,CT-FR-09,Correntina,Correntina (Fazenda Conquista) - CT-FR-09,-13.404935,-45.06974,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,49.4,0.2,0.0,10.6,5.0,0.0,54.2,119.4
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,8.8,0.0,0.2,2.2,2.0,5.4,0.4,19.0
Fazenda Vale do Urso,GR-FR-23,Luís Eduardo Magalhães,Luís Eduardo Magalhães (Fazenda Vale do Urso) - GR-FR-23,-11.905058,-45.698311,Oeste,RPGA do Rio Grande,11.0,0.0,17.2,6.4,19.6,0.0,4.0,0.0,58.2
Bebedouro,45760000,Jaborandi,Jaborandi (Bebedouro) - 45760000,-13.7372,-45.4639,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.4,0.2,0.0,1.2,25.0,24.4,0.0,34.4,85.6
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,0.0,3.4,1.4,1.0,0.6,0.6,0.0,7.0
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344,-38.458111,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,12.4,18.4,23.8,20.4,0.8,0.0,76.0
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,2.4,0.0,22.8,0.4,28.8,29.6,1.6,4.4,90.0
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370136,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,19.4,2.4,26.0,26.8,2.0,7.2,83.8
Tancredo Neves,292740823A,Salvador,Salvador (Tancredo Neves) - 292740823A,-12.945347,-38.453472,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,10.4,0.8,20.4,20.8,1.8,0.0,54.4
Cruz das Almas,83222,Cruz das Almas,Cruz das Almas - 83222,-12.666667,-39.083333,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,48.0,2.4,9.0,33.0,33.2,0.7,126.31
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607725,-38.960655,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,44.4,2.0,40.0,34.2,11.4,0.0,132.0
Centro,291345701A,Igrapiúna,Igrapiúna (Centro) - 291345701A,-13.819025,-39.141885,Recôncavo,RPGA do Recôncavo Sul,1.8,0.2,3.8,0.8,73.2,29.2,0.4,62.6,172.0
Itaparica,RN-CL-08,Itaparica,Itaparica - RN-CL-08,-12.8865,-38.68086,Recôncavo,RPGA do Recôncavo Sul,0.0,0.0,11.4,4.2,31.6,36.6,0.6,0.0,84.4
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.606591,-38.969939,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,48.4,2.4,31.6,36.2,11.6,0.0,130.21
Góes Calmon,293070901A,Simões Filho,Simões Filho (Góes Calmon) - 293070901A,-12.780101,-38.353331,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,20.0,0.2,24.2,46.2,0.0,24.4,115.0
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788344,-38.396864,Recôncavo,RPGA do Recôncavo Norte,0.2,0.0,35.0,0.2,24.8,39.2,0.2,4.4,104.01
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005278,-38.505833,Recôncavo,RPGA do Recôncavo Norte,0.6,0.0,21.2,0.6,29.2,51.3,2.7,0.0,105.61
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.268161,-38.96642,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,21.2,0.0,2.0,43.2,0.6,0.0,67.0
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,16.61,0.8,19.08,19.14,0.2,1.96,57.79
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511056,Recôncavo,RPGA do Recôncavo Norte,0.39,0.0,13.97,0.8,25.19,44.9,2.17,0.0,87.42
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,10.03,1.39,23.41,29.94,2.39,0.2,67.36
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,21.27,1.19,24.81,32.96,2.57,2.18,84.98
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,30.59,0.99,22.46,19.14,0.8,0.2,74.18
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,0.99,0.0,8.07,1.39,22.87,33.85,2.0,0.4,69.58
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,0.4,0.0,32.14,0.99,27.78,21.95,2.58,1.18,87.03
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,0.39,0.0,17.97,1.39,27.17,46.18,1.99,0.4,95.49
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,2.36,0.0,10.04,1.38,22.25,26.08,1.6,0.0,63.71
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,17.16,2.55,49.48,27.04,1.2,0.4,97.83
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,13.62,1.98,25.59,27.59,0.6,0.0,69.38
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,0.39,0.0,21.64,0.99,23.05,16.35,0.6,0.0,63.02
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.930789,-38.517167,Recôncavo,RPGA do Recôncavo Norte,0.0,0.4,12.58,1.78,22.38,36.64,1.39,1.2,76.37
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647172,-38.539112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,51.46,9.94,18.05,15.72,24.62,14.74,134.53
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,53.02,0.0,22.26,35.44,0.4,2.2,113.33
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,46.25,0.0,28.36,40.09,1.39,11.6,127.69
