nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_22,02_01_22,03_01_22,04_01_22,05_01_22,06_01_22,07_01_22,08_01_22,09_01_22,10_01_22,11_01_22,12_01_22,13_01_22,14_01_22,15_01_22,16_01_22,17_01_22,18_01_22,19_01_22,20_01_22,21_01_22,22_01_22,23_01_22,24_01_22,25_01_22,26_01_22,27_01_22,28_01_22,total
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,1.6,11.0,0.2,15.0,24.8,16.6,0.2,20.2,15.2,3.4,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,11.4,6.8,1.6,4.0,137.4
Luís Eduardo Magalhães,A404,Luís Eduardo Magalhães,Luís Eduardo Magalhães - A404,-12.152394000000001,-45.829745,Oeste,RPGA do Rio Grande,3.6,5.0,20.8,13.4,7.8,8.0,0.2,26.0,18.8,3.6,17.4,19.2,5.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,30.8,0.6,0.0,8.2,202.0
Ponte do Fortunato,CA-FR-01,Cocos,Cocos (Ponte do Fortunato) - CA-FR-01,-14.641237,-45.503601,Oeste,RPGA do Rio Carinhanha,11.0,4.0,0.4,8.4,23.0,7.8,17.0,2.4,25.4,0.2,2.2,0.0,27.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,12.6,5.8,62.4,0.0,229.61
Fazenda Lagoa do Casamento,CT-FR-08,Cocos,Cocos (Fazenda Lagoa do Casamento) - CT-FR-08,-14.39901,-45.520267,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",7.0,24.8,0.2,4.2,16.2,5.2,6.0,18.6,6.8,0.6,5.8,15.6,0.6,23.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.0,1.6,0.2,142.8
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,17.0,5.8,11.8,3.0,23.2,8.6,44.0,49.8,25.2,0.2,2.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,14.6,2.2,8.0,218.6
Fazenda Vale do Urso,GR-FR-23,Luís Eduardo Magalhães,Luís Eduardo Magalhães (Fazenda Vale do Urso) - GR-FR-23,-11.905058,-45.698311,Oeste,RPGA do Rio Grande,30.4,22.0,29.8,0.2,46.2,18.2,0.6,29.8,36.6,2.8,10.4,15.6,2.4,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.0,0.0,9.2,41.8,10.8,0.4,4.4,316.6
Bebedouro,45760000,Jaborandi,Jaborandi (Bebedouro) - 45760000,-13.7372,-45.4639,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",20.4,5.0,22.0,1.2,10.2,9.8,3.2,6.6,3.0,0.0,20.8,2.0,0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,24.6,0.0,0.0,0.0,50.2,0.0,0.2,180.2
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,33.8,17.4,25.8,1.6,22.6,7.2,0.6,27.0,12.8,8.0,20.2,16.8,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.8,3.0,0.4,9.2,232.4
J. Zoológico,A401,Salvador,Salvador (J. Zoológico) - A401,-13.005514999999999,-38.505759999999995,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,9.4,2.6,0.0,0.0,0.8,0.8,1.4,2.8,3.4,0.4,0.0,3.4,0.0,34.81
Feira de Santana,A413,Feira de Santana,Feira de Santana - A413,-12.1962,-38.967384,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,1.6,0.0,0.0,0.0,0.0,18.2,0.0,0.0,10.8,1.2,0.0,0.0,0.8,0.4,0.0,0.4,0.0,0.0,0.0,6.2,0.2,0.0,0.0,0.0,0.0,0.0,39.81
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344000000001,-38.458110999999995,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.4,1.6,0.0,0.0,6.6,0.0,5.2,15.0,2.6,9.0,2.6,1.0,2.8,60.2
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,20.4,0.2,0.0,0.0,7.2,1.0,0.0,39.8,17.2,23.8,0.0,6.4,22.6,145.2
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370135999999995,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,0.4,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,19.8,0.2,0.0,0.0,1.0,6.4,0.0,30.8,4.6,22.2,0.6,6.8,17.4,114.0
