nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,1.0,0.4,18.6,0.0,35.2,2.2,0.0,0.0,0.0,0.0,0.0,57.41
Fazenda Decisão,GR-CL-05,São Desidério,São Desidério (Fazenda Decisão) - GR-CL-05,-12.76167,-45.28167,Oeste,RPGA do Rio Grande,0.0,0.0,9.6,0.6,0.0,2.0,0.0,2.6,0.0,0.0,0.0,2.4,0.0,0.0,17.2
Formosa do Rio Preto,A452,Formosa do Rio Preto,Formosa do Rio Preto - A452,-11.052163,-45.200769,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,2.6,7.8,7.6,23.6,0.8,0.0,0.0,0.0,0.0,6.4,48.8
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.59139,-46.02194,Oeste,RPGA do Rio Grande,0.0,0.0,1.0,0.0,3.4,1.2,0.4,15.8,0.4,0.0,0.0,0.0,19.2,0.0,41.4
Correntina,A416,Correntina,Correntina - A416,-13.332386,-44.617376,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.2,0.0,0.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,14.6
Barreiras,83236,Barreiras,Barreiras - 83236,-12.155556,-45.007778,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,5.9,5.2,6.4,18.5,13.2,0.0,0.0,0.0,0.0,3.0,52.2
Correntina,83286,Correntina,Correntina - 83286,-13.332222,-44.617222,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.6,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,3.0,0.0,0.0,8.2,1.6,0.4,2.4,0.0,0.0,0.0,0.0,15.6
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,0.0,0.2,0.0,2.2,0.0,2.0,7.4,3.8,3.0,2.6,0.0,0.0,0.0,0.0,21.21
Luís Eduardo Magalhães,A404,Luís Eduardo Magalhães,Luís Eduardo Magalhães - A404,-12.152394,-45.829745,Oeste,RPGA do Rio Grande,0.0,0.0,0.4,0.4,9.4,2.2,0.0,8.2,0.2,0.0,0.0,0.0,0.0,0.6,21.41
Ponte do Fortunato,CA-FR-01,Cocos,Cocos (Ponte do Fortunato) - CA-FR-01,-14.641237,-45.503601,Oeste,RPGA do Rio Carinhanha,0.0,0.0,0.0,43.0,0.0,0.0,4.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,53.6
Fazenda Morete,CT-FR-01,Correntina,Correntina (Fazenda Morete) - CT-FR-01,-13.223149,-45.154136,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,1.0,1.6,0.6,0.0,3.4,0.0,0.0,0.0,7.2,0.0,0.0,0.0,13.8
Fazenda Lagoa do Casamento,CT-FR-08,Cocos,Cocos (Fazenda Lagoa do Casamento) - CT-FR-08,-14.39901,-45.520267,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,19.6,0.0,0.0,1.4,0.2,0.0,0.0,0.0,0.0,1.6,0.0,22.8
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,0.0,2.4,8.2,0.0,9.4,3.8,1.0,0.4,0.0,6.0,0.0,0.0,0.0,31.2
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,0.0,0.2,24.4,0.2,9.8,0.0,24.6,0.4,3.0,0.2,1.8,0.2,0.0,64.8
Fazenda Bom Jardim,46770000,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Bom Jardim) - 46770000,-10.9936,-45.5278,Oeste,RPGA do Rio Grande,0.0,0.0,0.6,0.0,0.8,3.0,0.0,31.4,0.0,0.0,0.0,0.0,0.6,0.4,36.8
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.268161,-38.96642,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,5.6,8.2,4.0,4.0,2.4,0.0,0.0,0.0,3.6,0.0,0.0,0.0,27.8
Centro,292740802A,Salvador,Salvador (Centro) - 292740802A,-12.97821,-38.515945,Recôncavo,RPGA do Recôncavo Norte,0.0,3.35,66.1,20.89,30.86,3.73,13.03,4.14,4.72,2.56,1.38,0.6,0.0,0.0,151.36
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,0.6,1.6,50.72,21.88,33.45,1.0,5.32,7.29,9.86,6.72,5.51,1.77,3.75,10.45,159.92
