nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_22,02_02_22,03_02_22,04_02_22,05_02_22,06_02_22,07_02_22,08_02_22,09_02_22,10_02_22,11_02_22,12_02_22,13_02_22,14_02_22,15_02_22,16_02_22,17_02_22,18_02_22,19_02_22,20_02_22,21_02_22,total
Correntina,83286,Correntina,Correntina - 83286,-13.332222,-44.617222,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",9.9,1.4,0.0,0.0,0.0,2.4,2.2,0.0,4.9,0.0,20.4,0.6,27.8,16.7,0.0,0.0,6.3,0.0,0.6,0.0,11.6,104.8
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,0.8,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.2,0.0,0.0,6.4,11.4,65.6,6.6,0.0,0.0,17.2,0.0,1.6,2.6,115.8
Correntina,45590000,Correntina,Correntina - 45590000,-13.3406,-44.6386,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",12.2,0.0,0.2,0.0,0.0,1.8,3.0,0.0,1.4,0.4,20.8,17.8,9.0,2.8,0.0,0.0,16.2,0.2,1.0,0.6,3.4,90.8
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.2,0.2,0.0,6.0,0.0,0.0,0.0,1.8,27.8,35.2,3.0,0.0,0.0,4.0,0.0,0.0,3.2,81.4
Fazenda Decisão,GR-CL-05,São Desidério,São Desidério (Fazenda Decisão) - GR-CL-05,-12.76167,-45.28167,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.8,1.8,2.2,5.8,5.0,2.8,11.0,30.6,43.4,12.4,26.4,0.0,2.4,21.0,2.0,12.4,1.4,181.41
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",9.4,1.2,0.0,0.0,0.0,2.8,2.8,0.4,2.8,0.0,27.4,5.8,18.4,14.8,0.0,0.0,8.4,0.0,0.0,0.0,13.6,107.8
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",12.0,0.0,0.0,0.0,0.0,7.6,2.6,0.0,2.2,0.4,18.8,19.2,8.4,14.4,0.0,0.0,15.4,0.0,2.0,0.6,4.6,108.2
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,0.0,0.0,3.8,0.0,0.0,4.0,0.0,0.2,0.2,2.4,0.0,11.8,25.0,20.6,7.6,0.0,0.2,0.0,0.0,4.4,2.0,82.2
Luís Eduardo Magalhães,A404,Luís Eduardo Magalhães,Luís Eduardo Magalhães - A404,-12.152394000000001,-45.829745,Oeste,RPGA do Rio Grande,0.0,0.0,3.8,0.0,0.0,17.4,0.0,0.0,0.0,11.0,0.0,0.2,13.2,17.8,2.0,0.0,33.6,0.2,8.0,11.2,7.8,126.2
Ponte do Fortunato,CA-FR-01,Cocos,Cocos (Ponte do Fortunato) - CA-FR-01,-14.641237,-45.503601,Oeste,RPGA do Rio Carinhanha,0.0,17.4,1.0,0.4,0.0,23.2,0.0,19.4,48.2,0.4,5.2,37.8,0.8,12.6,25.8,0.2,4.8,0.2,10.6,39.6,12.8,260.4
